department,branch,n_raw,n_after_iqr,dist,params,ks_p,aic
Spine,initial_screening_xray,72,72,weibull_min,"[1.3489302295299683, 0.26778324177756946, 1.4612863733022257]",0.8541838508006784,183.56396042796644
Spine,single_screening_no_xray,59,54,gamma,"[2451.5980924364903, -98.06795504927982, 0.04202086781879849]",0.7915534665091736,238.37553165243844
AdultHipKnee,initial_screening_xray,471,449,gamma,"[1.7704733482965227, 0.11046056537987223, 0.503518372183213]",0.4121383194821896,726.6709294035586
AdultHipKnee,single_screening_no_xray,203,194,weibull_min,"[2.101708660094245, -0.2738200876491767, 4.4826079996652535]",0.9936991481845775,806.5799753831234
ShoulderSports,initial_screening_xray,132,126,gamma,"[1.2755287337071541, 0.16288303881918692, 0.7403910043404653]",0.7283001356892282,239.25844201531697
ShoulderSports,single_screening_no_xray,129,128,triang,"[0.37926065212501214, -0.8310536201070706, 13.04569195195917]",0.8582864092000773,617.4064114506564
BoneCyst,initial_screening_xray,66,65,weibull_min,"[1.190560258654516, 0.22855378495601278, 1.0512701380550293]",0.7462099531867863,132.06749620216067
BoneCyst,single_screening_no_xray,81,77,triang,"[0.1539604237158097, -0.030433554579978053, 9.832183975081001]",0.9862891468548187,327.64880371362614
ChildOrtho,initial_screening_xray,109,105,gamma,"[1.111316486762676, 0.1641570240512487, 0.8046939986384545]",0.7423669833302184,191.8096851255562
ChildOrtho,single_screening_no_xray,72,70,gamma,"[2.8287689609397355, -0.5677360778445197, 1.6485848273269497]",0.501517231696454,329.4246959776562
BoneDeformity,initial_screening_xray,2,2,,,,
BoneDeformity,single_screening_no_xray,7,7,,,,
Control,initial_screening_xray,31,31,norm,"[1.5672043010752692, 0.8815460094987789]",0.3657236552751878,84.15734785360682
Control,single_screening_no_xray,13,12,,,,
KneeMeniscus,initial_screening_xray,25,25,,,,
KneeMeniscus,single_screening_no_xray,26,24,,,,
